,Vx,Vy,H,B,,,,,Constants,
,(V),(V),,,,,,,Mew_0 ,1.26E-06
,,,,,,,,,np,400
11.6999997,3.481791,1.341659,1.60E+04,2.46E+00,,,,,,
11.7499997,3.560839,1.357468,1.64E+04,2.49E+00,,,,,,
11.7999997,3.639887,1.404774,1.68E+04,2.58E+00,,,,,,
11.8499997,3.718935,1.420583,1.71E+04,2.61E+00,,,,,,
11.8999997,3.79829,1.452141,1.75E+04,2.66E+00,,,,,,
11.9499997,3.877337,1.46795,1.79E+04,2.69E+00,,,,,,
11.9999997,3.956385,1.483698,1.82E+04,2.72E+00,,,,,,
12.0499997,4.035433,1.499508,1.86E+04,2.75E+00,,,,,,
12.09999969,4.114789,1.515317,1.90E+04,2.78E+00,,,,,,
12.14999969,4.272884,1.531065,1.97E+04,2.81E+00,,,,,,
12.19999969,4.352239,1.546875,2.01E+04,2.84E+00,,,,,,
12.24999969,4.431287,1.546875,2.04E+04,2.84E+00,,,,,,
12.29999969,4.510335,1.562623,2.08E+04,2.87E+00,,,,,,
12.34999969,4.589382,1.578433,2.11E+04,2.89E+00,,,,,,
12.39999969,4.668737,1.578433,2.15E+04,2.89E+00,,,,,,
12.44999969,4.747786,1.578433,2.19E+04,2.89E+00,,,,,,
12.49999968,4.826833,1.594181,2.22E+04,2.92E+00,,,,,,
12.54999968,4.826833,1.594181,2.22E+04,2.92E+00,,,,,,
12.59999968,4.985236,1.594181,2.30E+04,2.92E+00,,,,,,
12.64999968,4.985236,1.60999,2.30E+04,2.95E+00,,,,,,
12.69999968,4.985236,1.60999,2.30E+04,2.95E+00,,,,,,
12.74999968,5.064284,1.60999,2.33E+04,2.95E+00,,,,,,
12.79999968,5.064284,1.60999,2.33E+04,2.95E+00,,,,,,
12.84999968,5.143332,1.60999,2.37E+04,2.95E+00,,,,,,
12.89999967,5.143332,1.6258,2.37E+04,2.98E+00,,,,,,
12.94999967,5.222687,1.6258,2.41E+04,2.98E+00,,,,,,
12.99999967,5.222687,1.6258,2.41E+04,2.98E+00,,,,,,
13.04999967,5.301735,1.6258,2.44E+04,2.98E+00,,,,,,
13.09999967,5.222687,1.6258,2.41E+04,2.98E+00,,,,,,
13.14999967,5.301735,1.6258,2.44E+04,2.98E+00,,,,,,
13.19999967,5.301735,1.6258,2.44E+04,2.98E+00,,,,,,
13.24999967,5.301735,1.6258,2.44E+04,2.98E+00,,,,,,
13.29999966,5.301735,1.641548,2.44E+04,3.01E+00,,,,,,
13.34999966,5.301735,1.6258,2.44E+04,2.98E+00,,,,,,
13.39999966,5.301735,1.6258,2.44E+04,2.98E+00,,,,,,
13.44999966,5.380783,1.6258,2.48E+04,2.98E+00,,,,,,
13.49999966,5.301735,1.641548,2.44E+04,3.01E+00,,,,,,
13.54999966,5.380783,1.6258,2.48E+04,2.98E+00,,,,,,
13.59999966,5.380783,1.641548,2.48E+04,3.01E+00,,,,,,
13.64999966,5.380783,1.641548,2.48E+04,3.01E+00,,,,,,
13.69999965,5.380783,1.641548,2.48E+04,3.01E+00,,,,,,
13.74999965,5.380783,1.641548,2.48E+04,3.01E+00,,,,,,
13.79999965,5.380783,1.6258,2.48E+04,2.98E+00,,,,,,
13.84999965,5.380783,1.641548,2.48E+04,3.01E+00,,,,,,
13.89999965,5.45983,1.641548,2.52E+04,3.01E+00,,,,,,
13.94999965,5.45983,1.641548,2.52E+04,3.01E+00,,,,,,
13.99999965,5.380783,1.641548,2.48E+04,3.01E+00,,,,,,
14.04999965,5.45983,1.641548,2.52E+04,3.01E+00,,,,,,
14.09999964,5.45983,1.641548,2.52E+04,3.01E+00,,,,,,
14.14999964,5.45983,1.641548,2.52E+04,3.01E+00,,,,,,
14.19999964,5.380783,1.6258,2.48E+04,2.98E+00,,,,,,
14.24999964,5.380783,1.641548,2.48E+04,3.01E+00,,,,,,
14.29999964,5.380783,1.6258,2.48E+04,2.98E+00,,,,,,
14.34999964,5.380783,1.6258,2.48E+04,2.98E+00,,,,,,
14.39999964,5.301735,1.6258,2.44E+04,2.98E+00,,,,,,
14.44999963,5.301735,1.6258,2.44E+04,2.98E+00,,,,,,
14.49999963,5.301735,1.6258,2.44E+04,2.98E+00,,,,,,
14.54999963,5.222687,1.6258,2.41E+04,2.98E+00,,,,,,
14.59999963,5.222687,1.6258,2.41E+04,2.98E+00,,,,,,
14.64999963,5.143332,1.6258,2.37E+04,2.98E+00,,,,,,
14.69999963,5.064284,1.60999,2.33E+04,2.95E+00,,,,,,
